Problem:    final2
Rows:       2943
Columns:    2531 (10 integer, 10 binary)
Non-zeros:  17284
Status:     INTEGER OPTIMAL
Objective:  z = 335282.9337 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
   426 Proporcion_Max[1,2,3,5]
                                   0                          -0 
   427 Proporcion_Max[1,2,3,6]
                                   0                          -0 
   428 Proporcion_Max[1,2,4,1]
                                   0                          -0 
   429 Proporcion_Max[1,2,4,2]
                                   0                          -0 
   430 Proporcion_Max[1,2,4,3]
                                   0                          -0 
   431 Proporcion_Max[1,2,4,4]
                                   0                          -0 
   432 Proporcion_Max[1,2,4,5]
                                   0                          -0 
   433 Proporcion_Max[1,2,4,6]
                                   0                          -0 
   434 Proporcion_Max[1,3,1,1]
                                   0                          -0 
   435 Proporcion_Max[1,3,1,2]
                                   0                          -0 
   436 Proporcion_Max[1,3,1,3]
                                   0                          -0 
   437 Proporcion_Max[1,3,1,4]
                                   0                          -0 
   438 Proporcion_Max[1,3,1,5]
                                   0                          -0 
   439 Proporcion_Max[1,3,1,6]
                                   0                          -0 
   440 Proporcion_Max[1,3,2,1]
                                   0                          -0 
   441 Proporcion_Max[1,3,2,2]
                                   0                          -0 
   442 Proporcion_Max[1,3,2,3]
                                   0                          -0 
   443 Proporcion_Max[1,3,2,4]
                                   0                          -0 
   444 Proporcion_Max[1,3,2,5]
                                   0                          -0 
